date,return,nav,weight,top_pair,direction,holding,dk_execution_turnover,dk_execution_cost,dk_volume_clear_active,dk_volume_clear_scale,risk_gate_on,risk_gate_scale,risk_gate_base_dd
2010-11-22,0.0,1.0,0.0,none,0,none_0,0.0,0.0,False,1.0,False,1.0,0.0
2010-11-23,0.014581934397335683,1.0145819343973357,0.5464085831103183,HS300/CYB,-1,HS300/CYB_-1,1.0928171662206365,0.0005464085831103182,False,1.0,False,1.0,0.0
2010-11-24,-0.0007659946649056781,1.0138047700484776,0.5464085831103183,HS300/CYB,-1,HS300/CYB_-1,0.0,0.0,False,1.0,False,1.0,-0.0007659946649057892
2010-11-25,-0.01797519992460772,0.9955814266223353,0.5464085831103183,HS300/CYB,-1,HS300/CYB_-1,0.0,0.0,False,1.0,False,1.0,-0.018727425682270593
2010-11-26,0.009302201336854221,1.0048425255000089,0.5464085831103183,HS300/CYB,-1,HS300/CYB_-1,0.0,0.0,False,1.0,False,1.0,-0.009599430629633754
2010-11-29,0.009862712151524677,1.0147529980866266,0.44579800179787293,SZ50/CYB,-1,SZ50/CYB_-1,1.0928171662206365,0.0005464085831103182,False,1.0,False,1.0,0.0
2010-11-30,-0.0070143436880061305,1.0076351717996124,0.44579800179787293,SZ50/CYB,-1,SZ50/CYB_-1,0.0,0.0,False,1.0,False,1.0,-0.0070143436880061305
2010-12-01,-0.0026252225304004284,1.0049899052441802,0.44579800179787293,SZ50/CYB,-1,SZ50/CYB_-1,0.0,0.0,False,1.0,False,1.0,-0.009621152005320766
2010-12-02,-0.002859372782624381,1.0021162644623127,0.44579800179787293,SZ50/CYB,-1,SZ50/CYB_-1,0.0,0.0,False,1.0,False,1.0,-0.012453014327763579
2010-12-03,-0.009756266634247002,0.9923393509877028,0.44579800179787293,SZ50/CYB,-1,SZ50/CYB_-1,0.0,0.0,False,1.0,False,1.0,-0.022087786033828882
2010-12-06,-0.014378383727440824,0.978071115011362,0.44579800179787293,SZ50/CYB,-1,SZ50/CYB_-1,0.0,0.0,False,1.0,False,1.0,-0.03614858309798574
2010-12-07,-0.0004457980017978924,0.9776350928626737,0.0,HS300/CYB,0,none_0,0.8915960035957459,0.00044579800179787296,True,0.0,False,1.0,-0.036578266133670656
2010-12-08,0.0,0.9776350928626737,0.0,HS300/CYB,0,none_0,0.0,0.0,True,0.0,False,1.0,-0.036578266133670656
2010-12-09,0.0,0.9776350928626737,0.0,SZ50/CYB,0,none_0,0.0,0.0,True,0.0,False,1.0,-0.036578266133670656
2010-12-10,0.0,0.9776350928626737,0.0,HS300/CYB,0,none_0,0.0,0.0,True,0.0,False,1.0,-0.036578266133670656
2010-12-13,0.0,0.9776350928626737,0.0,ZZ500/CYB,0,none_0,0.0,0.0,True,0.0,False,1.0,-0.036578266133670656
2010-12-14,0.0,0.9776350928626737,0.0,SZ50/ZZ500,0,none_0,0.0,0.0,True,0.0,False,1.0,-0.036578266133670656
2010-12-15,0.0,0.9776350928626737,0.0,SZ50/ZZ500,0,none_0,0.0,0.0,True,0.0,False,1.0,-0.036578266133670656
2010-12-16,0.0,0.9776350928626737,0.0,SZ50/ZZ500,0,none_0,0.0,0.0,True,0.0,False,1.0,-0.036578266133670656
2010-12-17,0.0,0.9776350928626737,0.0,SZ50/ZZ500,0,none_0,0.0,0.0,True,0.0,False,1.0,-0.036578266133670656
2010-12-20,0.0,0.9776350928626737,0.0,SZ50/ZZ500,0,none_0,0.0,0.0,True,0.0,False,1.0,-0.036578266133670656
2010-12-21,0.0,0.9776350928626737,0.0,SZ50/ZZ500,0,none_0,0.0,0.0,True,0.0,False,1.0,-0.036578266133670656
2010-12-22,0.0,0.9776350928626737,0.0,SZ50/ZZ500,0,none_0,0.0,0.0,True,0.0,False,1.0,-0.036578266133670656
2010-12-23,0.0,0.9776350928626737,0.0,SZ50/ZZ500,0,none_0,0.0,0.0,True,0.0,False,1.0,-0.036578266133670656
2010-12-24,0.0,0.9776350928626737,0.0,SZ50/ZZ500,0,none_0,0.0,0.0,True,0.0,False,1.0,-0.036578266133670656
