variant,window,start,end,total_return,max_dd,ulcer
baseline_subc,2020_crash,2020-02-19,2020-03-23,-0.1664764491852534,-0.17233342440644195,0.11274031261141403
baseline_subc,2022_bear,2022-01-03,2022-10-14,-0.22474912210559073,-0.22364447357835615,0.14016542005894655
baseline_subc,2025_tariff,2025-02-14,2025-04-17,-0.09072896172218214,-0.1383758520634919,0.07044620820296814
baseline_subc,2026_ytd,2026-01-01,2026-04-28,0.023113469622494387,-0.11624669955828926,0.057562553065751226
baseline_subc,since_phase2,2022-01-03,2026-04-28,0.649898562464305,-0.22364447357835615,0.09063066678631536
self_nav_dd3_cut20_recover1,2020_crash,2020-02-19,2020-03-23,-0.14064240869978262,-0.14668091368679326,0.09763047440196815
self_nav_dd3_cut20_recover1,2022_bear,2022-01-03,2022-10-14,-0.1814543765364195,-0.18054604493713677,0.11277964188860716
self_nav_dd3_cut20_recover1,2025_tariff,2025-02-14,2025-04-17,-0.07648489872537767,-0.11650523551064818,0.06116604616942757
self_nav_dd3_cut20_recover1,2026_ytd,2026-01-01,2026-04-28,0.031269090712867875,-0.09971713128264303,0.05143311933338541
self_nav_dd3_cut20_recover1,since_phase2,2022-01-03,2026-04-28,0.6059841325069577,-0.18054604493713677,0.07208121310224457
phase2_only_self_nav_dd3_cut20_recover1,2020_crash,2020-02-19,2020-03-23,-0.1664764491852534,-0.17233342440644195,0.11274031261141403
phase2_only_self_nav_dd3_cut20_recover1,2022_bear,2022-01-03,2022-10-14,-0.18538415492661842,-0.18422341558509547,0.11638297268459923
phase2_only_self_nav_dd3_cut20_recover1,2025_tariff,2025-02-14,2025-04-17,-0.07648489872537767,-0.11650523551064818,0.06116604616942757
phase2_only_self_nav_dd3_cut20_recover1,2026_ytd,2026-01-01,2026-04-28,0.031269090712867875,-0.09971713128264303,0.05143311933338541
phase2_only_self_nav_dd3_cut20_recover1,since_phase2,2022-01-03,2026-04-28,0.6020861362222734,-0.18422341558509547,0.0742804091435165
high_scale_only_self_nav_dd3_cut20_recover1,2020_crash,2020-02-19,2020-03-23,-0.16195275005979382,-0.16784151225767918,0.10866035122158407
high_scale_only_self_nav_dd3_cut20_recover1,2022_bear,2022-01-03,2022-10-14,-0.21169037607982455,-0.21056712025400282,0.12954896114825537
high_scale_only_self_nav_dd3_cut20_recover1,2025_tariff,2025-02-14,2025-04-17,-0.07530867890186799,-0.12376361051320783,0.06058143083914935
high_scale_only_self_nav_dd3_cut20_recover1,2026_ytd,2026-01-01,2026-04-28,0.026146166145784022,-0.11624669955828926,0.057499009476102154
high_scale_only_self_nav_dd3_cut20_recover1,since_phase2,2022-01-03,2026-04-28,0.6307705653938473,-0.21056712025400282,0.08269439921701374
phase2_high_scale_self_nav_dd3_cut20_recover1,2020_crash,2020-02-19,2020-03-23,-0.1664764491852534,-0.17233342440644195,0.11274031261141403
phase2_high_scale_self_nav_dd3_cut20_recover1,2022_bear,2022-01-03,2022-10-14,-0.21169037607982455,-0.21056712025400282,0.12954896114825537
phase2_high_scale_self_nav_dd3_cut20_recover1,2025_tariff,2025-02-14,2025-04-17,-0.07530867890186799,-0.12376361051320783,0.06058143083914935
phase2_high_scale_self_nav_dd3_cut20_recover1,2026_ytd,2026-01-01,2026-04-28,0.026146166145784022,-0.11624669955828926,0.057499009476102154
phase2_high_scale_self_nav_dd3_cut20_recover1,since_phase2,2022-01-03,2026-04-28,0.638445748531079,-0.21056712025400282,0.08269452647413036
baseline_nav_dd3_cut20_recover1,2020_crash,2020-02-19,2020-03-23,-0.14064240869978262,-0.14668091368679326,0.09763047440196815
baseline_nav_dd3_cut20_recover1,2022_bear,2022-01-03,2022-10-14,-0.18538415492661842,-0.18422341558509547,0.11638297268459923
baseline_nav_dd3_cut20_recover1,2025_tariff,2025-02-14,2025-04-17,-0.07648489872537767,-0.11650523551064818,0.06116604616942757
baseline_nav_dd3_cut20_recover1,2026_ytd,2026-01-01,2026-04-28,0.031269090712867875,-0.09971713128264303,0.05143311933338541
baseline_nav_dd3_cut20_recover1,since_phase2,2022-01-03,2026-04-28,0.6094794172016649,-0.18422341558509547,0.07433856517460635
phase2_only_baseline_nav_dd3_cut20_recover1,2020_crash,2020-02-19,2020-03-23,-0.1664764491852534,-0.17233342440644195,0.11274031261141403
phase2_only_baseline_nav_dd3_cut20_recover1,2022_bear,2022-01-03,2022-10-14,-0.18538415492661842,-0.18422341558509547,0.11638297268459923
phase2_only_baseline_nav_dd3_cut20_recover1,2025_tariff,2025-02-14,2025-04-17,-0.07648489872537767,-0.11650523551064818,0.06116604616942757
phase2_only_baseline_nav_dd3_cut20_recover1,2026_ytd,2026-01-01,2026-04-28,0.031269090712867875,-0.09971713128264303,0.05143311933338541
phase2_only_baseline_nav_dd3_cut20_recover1,since_phase2,2022-01-03,2026-04-28,0.6094794172016649,-0.18422341558509547,0.07433856517460635
high_scale_only_baseline_nav_dd3_cut20_recover1,2020_crash,2020-02-19,2020-03-23,-0.16195275005979382,-0.16784151225767918,0.10866035122158407
high_scale_only_baseline_nav_dd3_cut20_recover1,2022_bear,2022-01-03,2022-10-14,-0.21169037607982455,-0.21056712025400282,0.12954896114825537
high_scale_only_baseline_nav_dd3_cut20_recover1,2025_tariff,2025-02-14,2025-04-17,-0.07530867890186799,-0.12376361051320783,0.06058143083914935
high_scale_only_baseline_nav_dd3_cut20_recover1,2026_ytd,2026-01-01,2026-04-28,0.026146166145784022,-0.11624669955828926,0.057499009476102154
high_scale_only_baseline_nav_dd3_cut20_recover1,since_phase2,2022-01-03,2026-04-28,0.6354542046464233,-0.21056712025400282,0.08268667390071344
phase2_high_scale_baseline_nav_dd3_cut20_recover1,2020_crash,2020-02-19,2020-03-23,-0.1664764491852534,-0.17233342440644195,0.11274031261141403
phase2_high_scale_baseline_nav_dd3_cut20_recover1,2022_bear,2022-01-03,2022-10-14,-0.21169037607982455,-0.21056712025400282,0.12954896114825537
