variant,min_budget,avg_budget,days_derisked_pct,budget_change_days,budget_abs_change_sum,effective_scale_cost_sum
baseline_subc,1.0,1.0,0.0,0.0,0.0,0.03689659197352234
self_nav_dd3_cut20_recover1,0.8,0.8703972868217057,0.6480135658914729,85.0,16.999999999999996,0.044454705482131505
phase2_only_self_nav_dd3_cut20_recover1,0.8,0.9630813953488372,0.18459302325581395,21.0,4.199999999999999,0.038142743758253286
high_scale_only_self_nav_dd3_cut20_recover1,0.8,0.9305232558139535,0.34738372093023256,139.0,27.799999999999994,0.04134437262745233
phase2_high_scale_self_nav_dd3_cut20_recover1,0.8,0.9848352713178294,0.07582364341085271,37.0,7.399999999999999,0.03703154242866409
baseline_nav_dd3_cut20_recover1,0.8,0.878827519379845,0.6058624031007752,97.0,19.4,0.04673362219894123
phase2_only_baseline_nav_dd3_cut20_recover1,0.8,0.9644379844961241,0.17781007751937986,21.0,4.199999999999999,0.03814581600561315
high_scale_only_baseline_nav_dd3_cut20_recover1,0.8,0.9328488372093023,0.33575581395348836,147.0,29.39999999999999,0.0420888398810781
phase2_high_scale_baseline_nav_dd3_cut20_recover1,0.8,0.9844961240310077,0.07751937984496124,39.0,7.799999999999997,0.03726359938336929
self_nav_dd5_cut30_recover2,0.7,0.8390261627906975,0.5365794573643411,47.0,14.100000000000001,0.0399133685727311
phase2_only_self_nav_dd5_cut30_recover2,0.7,0.951671511627907,0.1610949612403101,11.0,3.3,0.036436788027158315
high_scale_only_self_nav_dd5_cut30_recover2,0.7,0.9309593023255813,0.23013565891472867,85.0,25.500000000000004,0.041900340179162054
phase2_high_scale_self_nav_dd5_cut30_recover2,0.7,0.9816860465116278,0.061046511627906974,25.0,7.500000000000002,0.037519185722121914
baseline_nav_dd5_cut30_recover2,0.7,0.8593023255813953,0.4689922480620155,57.0,17.1,0.04279089504247599
phase2_only_baseline_nav_dd5_cut30_recover2,0.7,0.9526162790697673,0.15794573643410853,11.0,3.3,0.03659671683377681
high_scale_only_baseline_nav_dd5_cut30_recover2,0.7,0.9352470930232558,0.21584302325581395,83.0,24.900000000000002,0.04205093145955911
phase2_high_scale_baseline_nav_dd5_cut30_recover2,0.7,0.981468023255814,0.06177325581395349,25.0,7.500000000000002,0.03767911452874041
self_nav_dd7_cut50_recover3,0.5,0.7235949612403101,0.5528100775193798,31.0,15.5,0.0369299678511127
phase2_only_self_nav_dd7_cut50_recover3,0.5,0.923328488372093,0.15334302325581395,9.0,4.5,0.036380687926689914
high_scale_only_self_nav_dd7_cut50_recover3,0.5,0.8966812015503876,0.2066375968992248,52.0,26.0,0.047606776406147876
phase2_high_scale_self_nav_dd7_cut50_recover3,0.5,0.9727470930232558,0.05450581395348837,14.0,7.0,0.03962898039516238
baseline_nav_dd7_cut50_recover3,0.5,0.8178294573643411,0.3643410852713178,37.0,18.5,0.04138852051415848
phase2_only_baseline_nav_dd7_cut50_recover3,0.5,0.9298691860465116,0.14026162790697674,7.0,3.5,0.03558364900059956
high_scale_only_baseline_nav_dd7_cut50_recover3,0.5,0.9232073643410853,0.15358527131782945,52.0,26.0,0.048225005308657795
phase2_high_scale_baseline_nav_dd7_cut50_recover3,0.5,0.9740794573643411,0.05184108527131783,14.0,7.0,0.03962898039516238
self_nav_dd10_cut50_recover5,0.5,0.828125,0.34375,17.0,8.5,0.03573469190095731
phase2_only_self_nav_dd10_cut50_recover5,0.5,0.935562015503876,0.12887596899224807,7.0,3.5,0.03635515327716009
high_scale_only_self_nav_dd10_cut50_recover5,0.5,0.940406976744186,0.11918604651162791,34.0,17.0,0.043801208030381907
phase2_high_scale_self_nav_dd10_cut50_recover5,0.5,0.9735949612403101,0.05281007751937984,14.0,7.0,0.03962898039516238
baseline_nav_dd10_cut50_recover5,0.5,0.8865067829457365,0.22698643410852712,20.0,10.0,0.038101793058742506
phase2_only_baseline_nav_dd10_cut50_recover5,0.5,0.9428294573643411,0.11434108527131782,8.0,4.0,0.03680345014117206
high_scale_only_baseline_nav_dd10_cut50_recover5,0.5,0.9616036821705426,0.07679263565891473,36.0,18.0,0.044758026605999486
phase2_high_scale_baseline_nav_dd10_cut50_recover5,0.5,0.9786821705426356,0.04263565891472868,16.0,8.0,0.04049881574706407
