signal,year,return
original_bias_momentum_naked,2010,0.07170579815270983
original_bias_momentum_naked,2011,0.10585776967973248
original_bias_momentum_naked,2012,0.21413879481838882
original_bias_momentum_naked,2013,-0.3714812610796957
original_bias_momentum_naked,2014,1.711296299285392
original_bias_momentum_naked,2015,0.38384804541974393
original_bias_momentum_naked,2016,-0.12670133414421048
original_bias_momentum_naked,2017,0.044497615506507326
original_bias_momentum_naked,2018,0.23648646711272114
original_bias_momentum_naked,2019,0.3411516077583274
original_bias_momentum_naked,2020,0.22531353474406446
original_bias_momentum_naked,2021,0.4395972615611645
original_bias_momentum_naked,2022,0.20258483810742756
original_bias_momentum_naked,2023,0.049849564905542154
original_bias_momentum_naked,2024,0.21000314963433042
original_bias_momentum_naked,2025,0.20158822741662052
original_bias_momentum_naked,2026,-0.03225885177271837
weighted_log_slope_r2_naked,2010,-0.07886325744536993
weighted_log_slope_r2_naked,2011,0.3383376930459845
weighted_log_slope_r2_naked,2012,0.13718980219073718
weighted_log_slope_r2_naked,2013,-0.18119193813466428
weighted_log_slope_r2_naked,2014,1.1162690478837134
weighted_log_slope_r2_naked,2015,-0.2525856182241655
weighted_log_slope_r2_naked,2016,-0.28637578571953337
weighted_log_slope_r2_naked,2017,0.1550483539787646
weighted_log_slope_r2_naked,2018,0.1133072980727503
weighted_log_slope_r2_naked,2019,0.16948567773191692
weighted_log_slope_r2_naked,2020,0.23073978474070778
weighted_log_slope_r2_naked,2021,0.5636494835603829
weighted_log_slope_r2_naked,2022,-0.03486331306998869
weighted_log_slope_r2_naked,2023,0.013122765938004655
weighted_log_slope_r2_naked,2024,0.04866786337274087
weighted_log_slope_r2_naked,2025,0.0718622741728141
weighted_log_slope_r2_naked,2026,0.08663455356233296
weighted_log_slope_naked,2010,0.028249433253719758
weighted_log_slope_naked,2011,0.41453030665570156
weighted_log_slope_naked,2012,0.10981997990547576
weighted_log_slope_naked,2013,-0.10947412354482466
weighted_log_slope_naked,2014,1.2354453264305802
weighted_log_slope_naked,2015,0.048017001486751365
weighted_log_slope_naked,2016,-0.20898180803353028
weighted_log_slope_naked,2017,0.13700307351346264
weighted_log_slope_naked,2018,0.2018387213611259
weighted_log_slope_naked,2019,0.17022997243768234
weighted_log_slope_naked,2020,0.09206186101528124
weighted_log_slope_naked,2021,0.5848362745933049
weighted_log_slope_naked,2022,-0.07362407545973282
weighted_log_slope_naked,2023,-0.001780359723179692
weighted_log_slope_naked,2024,0.030363522251698694
weighted_log_slope_naked,2025,-0.0569479808909753
weighted_log_slope_naked,2026,0.048261470612667834
