variant,decay_ratio_threshold,recovery_ratio_threshold,derisk_scale,annual,vol,sharpe,max_dd,calmar,total_return,monthly_win_rate,rebalanced_days,signal_days,volreg_days,overlay_days,overlay_ratio,trigger_count,recovery_count,avg_scale
combo_decay60_rec90_x0p50,0.6,0.9,0.5,15.758681031499044,16.28729379542124,0.9817162426495026,-22.408548690554007,0.7032441613740869,1344.479133390139,62.727272727272734,907,953,164,807,0.17577869745153563,65,65,0.9121106512742322
combo_decay30_rec70_x0p00,0.3,0.7,0.0,17.577512777728742,17.14348152280541,1.0321879227119972,-25.178129697024094,0.6981262305518389,1819.824242391668,63.18181818181819,907,953,164,137,0.029840993247658463,19,19,0.9701590067523416
combo_decay30_rec60_x0p00,0.3,0.6,0.0,17.602288334991336,17.145979113328476,1.0332939750362806,-25.225654687292685,0.6977931218513989,1827.2196130494976,63.63636363636363,907,953,164,130,0.028316270964931386,20,20,0.9716837290350686
combo_decay40_rec80_x0p00,0.4,0.8,0.0,17.568235741590055,16.998677344240516,1.0390524824371843,-25.57045625460469,0.6870521028902796,1817.0620056633966,61.36363636363637,907,953,164,186,0.040514049226747985,28,28,0.959485950773252
combo_decay40_rec60_x0p00,0.4,0.6,0.0,17.554179938243752,17.010935294168604,1.0377218319171857,-25.86204904944227,0.6787621469855003,1812.8840478401767,61.81818181818181,907,953,164,170,0.037028969723371816,30,30,0.9629710302766282
combo_decay40_rec70_x0p00,0.4,0.7,0.0,17.51925507514922,17.0073902801205,1.0361519971001019,-25.81492853795223,0.6786482112237114,1802.54018244104,61.36363636363637,907,953,164,180,0.03920714441298192,29,29,0.9607928555870181
combo_decay50_rec90_x0p00,0.5,0.9,0.0,15.583490113004327,16.63153683968577,0.955667464098243,-23.288456608885273,0.6691508318786029,1305.1041390071257,61.81818181818181,907,953,164,430,0.0936615116532346,41,41,0.9063384883467654
combo_decay60_rec80_x0p50,0.6,0.8,0.5,15.744499794134882,16.402448345344048,0.9752267477377439,-23.85154177435439,0.660104069711068,1341.2534406683576,62.727272727272734,907,953,164,722,0.1572642125898497,66,66,0.9213678937050751
combo_decay50_rec70_x0p00,0.5,0.7,0.0,16.18845623730629,16.807221319841894,0.9785649704521692,-25.074928287335524,0.645603291534936,1445.5371733941884,60.909090909090914,907,953,164,325,0.07079067741232847,43,43,0.9292093225876715
combo_decay50_rec60_x0p00,0.5,0.6,0.0,16.79168439975389,16.83660763093435,1.0079751490828333,-26.413728509798645,0.6357180658355263,1598.7036432968239,61.36363636363637,907,953,164,293,0.06382051840557612,45,45,0.9361794815944239
combo_decay60_rec70_x0p50,0.6,0.7,0.5,15.983991978391732,16.579485171296383,0.9790803522225938,-25.144869947594884,0.635676064807828,1396.653280957206,63.18181818181819,907,953,164,609,0.1326508385972555,77,77,0.9336745807013722
combo_decay50_rec80_x0p00,0.5,0.8,0.0,15.557427623979958,16.730578580993612,0.9496495887731127,-25.17474444167223,0.6179775790783184,1299.3338944158927,60.909090909090914,907,953,164,370,0.08059246351557395,42,42,0.9194075364844261
combo_decay70_rec90_x0p50,0.7,0.9,0.5,13.898227776451733,15.572320712796909,0.9152191888776434,-23.533042043488614,0.5905835612228998,974.7536256757854,60.0,907,953,164,1200,0.2613809627532128,109,109,0.8693095186233936
combo_decay70_rec80_x0p50,0.7,0.8,0.5,13.33492833154224,15.732439972633546,0.8759246869654368,-26.428889031802882,0.5045587922933809,881.788518801452,59.09090909090909,907,953,164,1091,0.23763885863646264,123,123,0.8811805706817687
combo_decay60_rec90_x0p00,0.6,0.9,0.0,11.394741861991342,15.937965573902613,0.7580712080956122,-27.0173696999442,0.4217561512664527,616.4342965858261,60.45454545454545,907,953,164,807,0.17577869745153563,65,65,0.8242213025484644
combo_decay60_rec80_x0p00,0.6,0.8,0.0,11.381347041782487,16.095198618615328,0.7514855138105879,-29.69220446969431,0.383310947942548,614.8639041514986,60.0,907,953,164,722,0.1572642125898497,66,66,0.8427357874101503
combo_decay60_rec70_x0p00,0.6,0.7,0.0,11.864399001213455,16.33613633782502,0.7693527325698023,-32.04978552286858,0.37018653347142727,673.6040678688698,59.09090909090909,907,953,164,609,0.1326508385972555,77,77,0.8673491614027445
combo_decay70_rec90_x0p00,0.7,0.9,0.0,7.760968900280085,14.966245148005058,0.5752391511704147,-32.25719020089173,0.24059655698299284,291.15594680304315,55.00000000000001,907,953,164,1200,0.2613809627532128,109,109,0.7386190372467872
combo_decay70_rec80_x0p00,0.7,0.8,0.0,6.714780519598262,15.19286576253328,0.5045814807350033,-35.24415684374201,0.19052180902975824,227.3676171409984,54.090909090909086,907,953,164,1091,0.23763885863646264,123,123,0.7623611413635374
