date,cyb_close_csindex,cyb_volume,cyb_amount,cyb_constituents,hs300_close_csindex,hs300_volume,hs300_amount,hs300_constituents,amount_ratio_cyb_hs300
2005-01-04,,,,,982.79,7412868.0,4431977400.0,,
2005-01-05,,,,,992.56,7119108.0,4529208200.0,,
2005-01-06,,,,,983.17,6288029.0,3921015400.0,,
2005-01-07,,,,,983.96,7298694.0,4737469400.0,,
2005-01-10,,,,,993.88,5791697.0,3762932900.0,,
2005-01-11,,,,,997.14,5849079.0,3704076700.0,,
2005-01-12,,,,,996.75,5014525.0,3093299700.0,,
2005-01-13,,,,,996.88,6044065.0,3842173300.0,,
2005-01-14,,,,,988.31,7297842.0,4162921200.0,,
2005-01-17,,,,,967.45,7288188.0,4249807800.0,,
2005-01-18,,,,,974.69,7311847.0,4117944100.0,,
2005-01-19,,,,,967.21,6338091.0,3427951300.0,,
2005-01-20,,,,,956.24,7727106.0,4399350600.0,,
2005-01-21,,,,,982.6,14450059.0,8152086100.0,,
2005-01-24,,,,,998.13,14359461.0,8360161500.0,,
2005-01-25,,,,,997.78,9862529.0,6157022400.0,,
2005-01-26,,,,,989.93,7663290.0,4719440400.0,,
2005-01-27,,,,,974.63,6945364.0,4094398900.0,,
2005-01-28,,,,,969.21,5748807.0,3280950300.0,,
2005-01-31,,,,,954.88,6788706.0,3863573600.0,,
2005-02-01,,,,,955.95,7433066.0,4275706800.0,,
2005-02-02,,,,,1006.91,17057338.0,10202904300.0,,
2005-02-03,,,,,993.22,16974539.0,10057310300.0,,
2005-02-04,,,,,1016.86,15736214.0,9549870600.0,,
2005-02-16,,,,,1023.58,12131293.0,7438168200.0,,
2005-02-17,,,,,1020.61,8968297.0,5513063300.0,,
2005-02-18,,,,,1006.05,8139939.0,4817732100.0,,
2005-02-21,,,,,1025.63,9886094.0,6052394900.0,,
2005-02-22,,,,,1046.74,17937842.0,10922776800.0,,
2005-02-23,,,,,1043.94,18696929.0,11231940700.0,,
2005-02-24,,,,,1045.46,14681788.0,8993752200.0,,
2005-02-25,,,,,1046.76,18170003.0,11489961200.0,,
